,Date,Species,Block,Street,Trap,Latitude,Longitude,WnvPresent,month,day,day_of_year,week,Station,Tmax,Tmin,Tavg,Depart,Heat,Cool,PrecipTotal,DayLength_MPrec,DayLength_NearH,NightLength_MPrec,NightLength_NearH,Sunrise_hours,Sunset_hours,blended_Tmax,blended_Tmin,blended_Depart,blended_Heat,blended_Cool,blended_PrecipTotal
30,2007-05-29,CULEX RESTUANS,11, S PEORIA ST,T091,41.862292,-87.64886,0,5,29,149,22,1,88,60,74.0,10,0,9,0.0,14.9333333333,15.0,9.06666666667,9.0,4.35,19.2833333333,88.0,62.5,10.0,0.0,10.5,0.0
32,2007-05-29,CULEX RESTUANS,17, W 95TH ST,T094,41.720848,-87.666014,0,5,29,149,22,1,88,60,74.0,10,0,9,0.0,14.9333333333,15.0,9.06666666667,9.0,4.35,19.2833333333,88.0,62.5,10.0,0.0,10.5,0.0
34,2007-05-29,CULEX RESTUANS,22, W 89TH ST,T096,41.731922,-87.677512,0,5,29,149,22,1,88,60,74.0,10,0,9,0.0,14.9333333333,15.0,9.06666666667,9.0,4.35,19.2833333333,88.0,62.5,10.0,0.0,10.5,0.0
36,2007-05-29,CULEX PIPIENS,22, W 89TH ST,T096,41.731922,-87.677512,0,5,29,149,22,1,88,60,74.0,10,0,9,0.0,14.9333333333,15.0,9.06666666667,9.0,4.35,19.2833333333,88.0,62.5,10.0,0.0,10.5,0.0
38,2007-05-29,CULEX PIPIENS/RESTUANS,53, N STREETER DR,T129,41.891126,-87.61156,0,5,29,149,22,1,88,60,74.0,10,0,9,0.0,14.9333333333,15.0,9.06666666667,9.0,4.35,19.2833333333,88.0,62.5,10.0,0.0,10.5,0.0
40,2007-05-29,CULEX RESTUANS,53, N STREETER DR,T129,41.891126,-87.61156,0,5,29,149,22,1,88,60,74.0,10,0,9,0.0,14.9333333333,15.0,9.06666666667,9.0,4.35,19.2833333333,88.0,62.5,10.0,0.0,10.5,0.0
42,2007-05-29,CULEX PIPIENS/RESTUANS,65, N OAK PARK AVE,T143,41.999129,-87.795585,0,5,29,149,22,1,88,60,74.0,10,0,9,0.0,14.9333333333,15.0,9.06666666667,9.0,4.35,19.2833333333,88.0,62.5,10.0,0.0,10.5,0.0
44,2007-05-29,CULEX PIPIENS/RESTUANS,75, N OAKLEY AVE,T148,42.01743,-87.687769,0,5,29,149,22,1,88,60,74.0,10,0,9,0.0,14.9333333333,15.0,9.06666666667,9.0,4.35,19.2833333333,88.0,62.5,10.0,0.0,10.5,0.0
46,2007-05-29,CULEX RESTUANS,15, N LONG AVE,T153,41.907645,-87.760886,0,5,29,149,22,1,88,60,74.0,10,0,9,0.0,14.9333333333,15.0,9.06666666667,9.0,4.35,19.2833333333,88.0,62.5,10.0,0.0,10.5,0.0
48,2007-05-29,CULEX RESTUANS,89, S CARPENTER ST,T159,41.732984,-87.649642,0,5,29,149,22,1,88,60,74.0,10,0,9,0.0,14.9333333333,15.0,9.06666666667,9.0,4.35,19.2833333333,88.0,62.5,10.0,0.0,10.5,0.0
50,2007-06-05,CULEX PIPIENS/RESTUANS,41, N OAK PARK AVE,T002,41.95469,-87.800991,0,6,5,156,23,1,64,47,56.0,-9,9,0,0.42,15.1,15.0,8.9,9.0,4.28333333333,19.3833333333,63.5,49.0,-9.0,8.5,0.0,0.345
52,2007-06-05,CULEX RESTUANS,41, N OAK PARK AVE,T002,41.95469,-87.800991,0,6,5,156,23,1,64,47,56.0,-9,9,0,0.42,15.1,15.0,8.9,9.0,4.28333333333,19.3833333333,63.5,49.0,-9.0,8.5,0.0,0.345
54,2007-06-05,CULEX PIPIENS,41, N OAK PARK AVE,T002,41.95469,-87.800991,0,6,5,156,23,1,64,47,56.0,-9,9,0,0.42,15.1,15.0,8.9,9.0,4.28333333333,19.3833333333,63.5,49.0,-9.0,8.5,0.0,0.345
56,2007-06-05,CULEX PIPIENS/RESTUANS,79, W FOSTER AVE,T015,41.974089,-87.824812,0,6,5,156,23,1,64,47,56.0,-9,9,0,0.42,15.1,15.0,8.9,9.0,4.28333333333,19.3833333333,63.5,49.0,-9.0,8.5,0.0,0.345
58,2007-06-05,CULEX RESTUANS,79, W FOSTER AVE,T015,41.974089,-87.824812,0,6,5,156,23,1,64,47,56.0,-9,9,0,0.42,15.1,15.0,8.9,9.0,4.28333333333,19.3833333333,63.5,49.0,-9.0,8.5,0.0,0.345
60,2007-06-05,CULEX PIPIENS/RESTUANS,15, W WEBSTER AVE,T045,41.9216,-87.666455,0,6,5,156,23,1,64,47,56.0,-9,9,0,0.42,15.1,15.0,8.9,9.0,4.28333333333,19.3833333333,63.5,49.0,-9.0,8.5,0.0,0.345
62,2007-06-05,CULEX RESTUANS,15, W WEBSTER AVE,T045,41.9216,-87.666455,0,6,5,156,23,1,64,47,56.0,-9,9,0,0.42,15.1,15.0,8.9,9.0,4.28333333333,19.3833333333,63.5,49.0,-9.0,8.5,0.0,0.345
64,2007-06-05,CULEX PIPIENS,15, W WEBSTER AVE,T045,41.9216,-87.666455,0,6,5,156,23,1,64,47,56.0,-9,9,0,0.42,15.1,15.0,8.9,9.0,4.28333333333,19.3833333333,63.5,49.0,-9.0,8.5,0.0,0.345
66,2007-06-05,CULEX RESTUANS,25, W GRAND AVE,T046,41.891118,-87.654491,0,6,5,156,23,1,64,47,56.0,-9,9,0,0.42,15.1,15.0,8.9,9.0,4.28333333333,19.3833333333,63.5,49.0,-9.0,8.5,0.0,0.345
68,2007-06-05,CULEX PIPIENS/RESTUANS,11, W ROOSEVELT,T048,41.867108,-87.654224,0,6,5,156,23,1,64,47,56.0,-9,9,0,0.42,15.1,15.0,8.9,9.0,4.28333333333,19.3833333333,63.5,49.0,-9.0,8.5,0.0,0.345
70,2007-06-05,CULEX RESTUANS,11, W ROOSEVELT,T048,41.867108,-87.654224,0,6,5,156,23,1,64,47,56.0,-9,9,0,0.42,15.1,15.0,8.9,9.0,4.28333333333,19.3833333333,63.5,49.0,-9.0,8.5,0.0,0.345
72,2007-06-05,CULEX PIPIENS,11, W ROOSEVELT,T048,41.867108,-87.654224,0,6,5,156,23,1,64,47,56.0,-9,9,0,0.42,15.1,15.0,8.9,9.0,4.28333333333,19.3833333333,63.5,49.0,-9.0,8.5,0.0,0.345
74,2007-06-05,CULEX RESTUANS,11, W CHICAGO,T049,41.896282,-87.655232,0,6,5,156,23,1,64,47,56.0,-9,9,0,0.42,15.1,15.0,8.9,9.0,4.28333333333,19.3833333333,63.5,49.0,-9.0,8.5,0.0,0.345
76,2007-06-05,CULEX PIPIENS/RESTUANS,21, N STAVE ST,T050,41.919343,-87.694259,0,6,5,156,23,1,64,47,56.0,-9,9,0,0.42,15.1,15.0,8.9,9.0,4.28333333333,19.3833333333,63.5,49.0,-9.0,8.5,0.0,0.345
78,2007-06-05,CULEX RESTUANS,21, N STAVE ST,T050,41.919343,-87.694259,0,6,5,156,23,1,64,47,56.0,-9,9,0,0.42,15.1,15.0,8.9,9.0,4.28333333333,19.3833333333,63.5,49.0,-9.0,8.5,0.0,0.345
80,2007-06-05,CULEX RESTUANS,22, N CANNON DR,T054,41.921965,-87.632085,0,6,5,156,23,1,64,47,56.0,-9,9,0,0.42,15.1,15.0,8.9,9.0,4.28333333333,19.3833333333,63.5,49.0,-9.0,8.5,0.0,0.345
82,2007-06-05,CULEX RESTUANS,22, W 113TH ST,T086,41.688324,-87.676709,0,6,5,156,23,1,64,47,56.0,-9,9,0,0.42,15.1,15.0,8.9,9.0,4.28333333333,19.3833333333,63.5,49.0,-9.0,8.5,0.0,0.345
84,2007-06-05,CULEX PIPIENS/RESTUANS,17, W 95TH ST,T094,41.720848,-87.666014,0,6,5,156,23,1,64,47,56.0,-9,9,0,0.42,15.1,15.0,8.9,9.0,4.28333333333,19.3833333333,63.5,49.0,-9.0,8.5,0.0,0.345
86,2007-06-05,CULEX PIPIENS/RESTUANS,22, W 89TH ST,T096,41.731922,-87.677512,0,6,5,156,23,1,64,47,56.0,-9,9,0,0.42,15.1,15.0,8.9,9.0,4.28333333333,19.3833333333,63.5,49.0,-9.0,8.5,0.0,0.345
88,2007-06-05,CULEX RESTUANS,22, W 89TH ST,T096,41.731922,-87.677512,0,6,5,156,23,1,64,47,56.0,-9,9,0,0.42,15.1,15.0,8.9,9.0,4.28333333333,19.3833333333,63.5,49.0,-9.0,8.5,0.0,0.345
90,2007-06-05,CULEX PIPIENS,22, W 89TH ST,T096,41.731922,-87.677512,0,6,5,156,23,1,64,47,56.0,-9,9,0,0.42,15.1,15.0,8.9,9.0,4.28333333333,19.3833333333,63.5,49.0,-9.0,8.5,0.0,0.345
92,2007-06-05,CULEX PIPIENS/RESTUANS,65, N OAK PARK AVE,T143,41.999129,-87.795585,0,6,5,156,23,1,64,47,56.0,-9,9,0,0.42,15.1,15.0,8.9,9.0,4.28333333333,19.3833333333,63.5,49.0,-9.0,8.5,0.0,0.345
94,2007-06-05,CULEX RESTUANS,65, N OAK PARK AVE,T143,41.999129,-87.795585,0,6,5,156,23,1,64,47,56.0,-9,9,0,0.42,15.1,15.0,8.9,9.0,4.28333333333,19.3833333333,63.5,49.0,-9.0,8.5,0.0,0.345
96,2007-06-05,CULEX RESTUANS,15, N LONG AVE,T153,41.907645,-87.760886,0,6,5,156,23,1,64,47,56.0,-9,9,0,0.42,15.1,15.0,8.9,9.0,4.28333333333,19.3833333333,63.5,49.0,-9.0,8.5,0.0,0.345
98,2007-06-05,CULEX RESTUANS,89, S CARPENTER ST,T159,41.732984,-87.649642,0,6,5,156,23,1,64,47,56.0,-9,9,0,0.42,15.1,15.0,8.9,9.0,4.28333333333,19.3833333333,63.5,49.0,-9.0,8.5,0.0,0.345
100,2007-06-05,CULEX RESTUANS,91, W HIGGINS AVE,T009,41.981964,-87.812827,0,6,5,156,23,1,64,47,56.0,-9,9,0,0.42,15.1,15.0,8.9,9.0,4.28333333333,19.3833333333,63.5,49.0,-9.0,8.5,0.0,0.345
102,2007-06-05,CULEX RESTUANS,36, N PITTSBURGH AVE,T011,41.944869,-87.832763,0,6,5,156,23,1,64,47,56.0,-9,9,0,0.42,15.1,15.0,8.9,9.0,4.28333333333,19.3833333333,63.5,49.0,-9.0,8.5,0.0,0.345
104,2007-06-05,CULEX RESTUANS,72, N OKETO AVE,T016,42.011601,-87.811506,0,6,5,156,23,1,64,47,56.0,-9,9,0,0.42,15.1,15.0,8.9,9.0,4.28333333333,19.3833333333,63.5,49.0,-9.0,8.5,0.0,0.345
106,2007-06-05,CULEX RESTUANS,38, N CALIFORNIA AVE,T019,41.94983,-87.698457,0,6,5,156,23,1,64,47,56.0,-9,9,0,0.42,15.1,15.0,8.9,9.0,4.28333333333,19.3833333333,63.5,49.0,-9.0,8.5,0.0,0.345
108,2007-06-05,CULEX RESTUANS,49, W BALMORAL AVE,T025,41.979243,-87.750938,0,6,5,156,23,1,64,47,56.0,-9,9,0,0.42,15.1,15.0,8.9,9.0,4.28333333333,19.3833333333,63.5,49.0,-9.0,8.5,0.0,0.345
110,2007-06-05,CULEX RESTUANS,58, N WESTERN AVE,T028,41.986921,-87.689778,0,6,5,156,23,1,64,47,56.0,-9,9,0,0.42,15.1,15.0,8.9,9.0,4.28333333333,19.3833333333,63.5,49.0,-9.0,8.5,0.0,0.345
112,2007-06-05,CULEX PIPIENS/RESTUANS,50, S CENTRAL AVE,T031,41.801498,-87.763416,0,6,5,156,23,1,64,47,56.0,-9,9,0,0.42,15.1,15.0,8.9,9.0,4.28333333333,19.3833333333,63.5,49.0,-9.0,8.5,0.0,0.345
114,2007-06-05,CULEX RESTUANS,14, N HUMBOLDT DR,T033,41.906638,-87.701431,0,6,5,156,23,1,64,47,56.0,-9,9,0,0.42,15.1,15.0,8.9,9.0,4.28333333333,19.3833333333,63.5,49.0,-9.0,8.5,0.0,0.345
116,2007-06-05,CULEX RESTUANS,10, S VINCENNES,T089,41.723195,-87.64997,0,6,5,156,23,1,64,47,56.0,-9,9,0,0.42,15.1,15.0,8.9,9.0,4.28333333333,19.3833333333,63.5,49.0,-9.0,8.5,0.0,0.345
118,2007-06-05,CULEX PIPIENS/RESTUANS,11, S ASHLAND AVE,T090,41.868077,-87.666901,0,6,5,156,23,1,64,47,56.0,-9,9,0,0.42,15.1,15.0,8.9,9.0,4.28333333333,19.3833333333,63.5,49.0,-9.0,8.5,0.0,0.345
120,2007-06-05,CULEX RESTUANS,11, S ASHLAND AVE,T090,41.868077,-87.666901,0,6,5,156,23,1,64,47,56.0,-9,9,0,0.42,15.1,15.0,8.9,9.0,4.28333333333,19.3833333333,63.5,49.0,-9.0,8.5,0.0,0.345
122,2007-06-05,CULEX PIPIENS/RESTUANS,11, S STATE ST,T092,41.869216,-87.627561,0,6,5,156,23,1,64,47,56.0,-9,9,0,0.42,15.1,15.0,8.9,9.0,4.28333333333,19.3833333333,63.5,49.0,-9.0,8.5,0.0,0.345
124,2007-06-05,CULEX PIPIENS/RESTUANS,42, W 127TH PL,T135,41.662014,-87.724608,0,6,5,156,23,1,64,47,56.0,-9,9,0,0.42,15.1,15.0,8.9,9.0,4.28333333333,19.3833333333,63.5,49.0,-9.0,8.5,0.0,0.345
126,2007-06-05,CULEX RESTUANS,42, W 127TH PL,T135,41.662014,-87.724608,0,6,5,156,23,1,64,47,56.0,-9,9,0,0.42,15.1,15.0,8.9,9.0,4.28333333333,19.3833333333,63.5,49.0,-9.0,8.5,0.0,0.345
128,2007-06-05,CULEX PIPIENS,42, W 127TH PL,T135,41.662014,-87.724608,0,6,5,156,23,1,64,47,56.0,-9,9,0,0.42,15.1,15.0,8.9,9.0,4.28333333333,19.3833333333,63.5,49.0,-9.0,8.5,0.0,0.345
130,2007-06-05,CULEX PIPIENS/RESTUANS,53, W AGATITE AVE,T141,41.961743,-87.76007,0,6,5,156,23,1,64,47,56.0,-9,9,0,0.42,15.1,15.0,8.9,9.0,4.28333333333,19.3833333333,63.5,49.0,-9.0,8.5,0.0,0.345
132,2007-06-05,CULEX RESTUANS,53, W AGATITE AVE,T141,41.961743,-87.76007,0,6,5,156,23,1,64,47,56.0,-9,9,0,0.42,15.1,15.0,8.9,9.0,4.28333333333,19.3833333333,63.5,49.0,-9.0,8.5,0.0,0.345
134,2007-06-05,CULEX PIPIENS/RESTUANS,40, N AUSTIN AVE,T142,41.953067,-87.776792,0,6,5,156,23,1,64,47,56.0,-9,9,0,0.42,15.1,15.0,8.9,9.0,4.28333333333,19.3833333333,63.5,49.0,-9.0,8.5,0.0,0.345
136,2007-06-05,CULEX RESTUANS,40, N AUSTIN AVE,T142,41.953067,-87.776792,0,6,5,156,23,1,64,47,56.0,-9,9,0,0.42,15.1,15.0,8.9,9.0,4.28333333333,19.3833333333,63.5,49.0,-9.0,8.5,0.0,0.345
138,2007-06-05,CULEX RESTUANS,43, N ASHLAND AVE OVERPASS,T145,41.878114,-87.629798,0,6,5,156,23,1,64,47,56.0,-9,9,0,0.42,15.1,15.0,8.9,9.0,4.28333333333,19.3833333333,63.5,49.0,-9.0,8.5,0.0,0.345
140,2007-06-05,CULEX PIPIENS/RESTUANS,42, N RICHMOND ST,T146,41.958271,-87.702575,0,6,5,156,23,1,64,47,56.0,-9,9,0,0.42,15.1,15.0,8.9,9.0,4.28333333333,19.3833333333,63.5,49.0,-9.0,8.5,0.0,0.345
142,2007-06-05,CULEX RESTUANS,42, N RICHMOND ST,T146,41.958271,-87.702575,0,6,5,156,23,1,64,47,56.0,-9,9,0,0.42,15.1,15.0,8.9,9.0,4.28333333333,19.3833333333,63.5,49.0,-9.0,8.5,0.0,0.345
144,2007-06-05,CULEX RESTUANS,28, N FRANCISCO AVE,T147,41.932094,-87.700117,0,6,5,156,23,1,64,47,56.0,-9,9,0,0.42,15.1,15.0,8.9,9.0,4.28333333333,19.3833333333,63.5,49.0,-9.0,8.5,0.0,0.345
146,2007-06-05,CULEX PIPIENS/RESTUANS,15, W GRANVILLE AVE,T149,41.994469,-87.667736,0,6,5,156,23,1,64,47,56.0,-9,9,0,0.42,15.1,15.0,8.9,9.0,4.28333333333,19.3833333333,63.5,49.0,-9.0,8.5,0.0,0.345
148,2007-06-05,CULEX RESTUANS,18, W FARWELL AVE,T150,42.006858,-87.675919,0,6,5,156,23,1,64,47,56.0,-9,9,0,0.42,15.1,15.0,8.9,9.0,4.28333333333,19.3833333333,63.5,49.0,-9.0,8.5,0.0,0.345
150,2007-06-05,CULEX PIPIENS/RESTUANS,70,  W ARMITAGE AVENUE,T151,41.916265,-87.800515,0,6,5,156,23,1,64,47,56.0,-9,9,0,0.42,15.1,15.0,8.9,9.0,4.28333333333,19.3833333333,63.5,49.0,-9.0,8.5,0.0,0.345
152,2007-06-05,CULEX RESTUANS,70,  W ARMITAGE AVENUE,T151,41.916265,-87.800515,0,6,5,156,23,1,64,47,56.0,-9,9,0,0.42,15.1,15.0,8.9,9.0,4.28333333333,19.3833333333,63.5,49.0,-9.0,8.5,0.0,0.345
154,2007-06-05,CULEX RESTUANS,25, S MILLARD AVE,T152,41.846075,-87.716277,0,6,5,156,23,1,64,47,56.0,-9,9,0,0.42,15.1,15.0,8.9,9.0,4.28333333333,19.3833333333,63.5,49.0,-9.0,8.5,0.0,0.345
156,2007-06-05,CULEX RESTUANS,21, N LAWLER AVE,T154,41.918705,-87.752329,0,6,5,156,23,1,64,47,56.0,-9,9,0,0.42,15.1,15.0,8.9,9.0,4.28333333333,19.3833333333,63.5,49.0,-9.0,8.5,0.0,0.345
158,2007-06-05,CULEX PIPIENS/RESTUANS,35, W 116TH ST,T158,41.682587,-87.707973,0,6,5,156,23,1,64,47,56.0,-9,9,0,0.42,15.1,15.0,8.9,9.0,4.28333333333,19.3833333333,63.5,49.0,-9.0,8.5,0.0,0.345
160,2007-06-05,CULEX RESTUANS,35, W 116TH ST,T158,41.682587,-87.707973,0,6,5,156,23,1,64,47,56.0,-9,9,0,0.42,15.1,15.0,8.9,9.0,4.28333333333,19.3833333333,63.5,49.0,-9.0,8.5,0.0,0.345
162,2007-06-05,CULEX PIPIENS/RESTUANS,93, S DR MARTIN LUTHER KING JR DR,T162,41.725517,-87.614258,0,6,5,156,23,1,64,47,56.0,-9,9,0,0.42,15.1,15.0,8.9,9.0,4.28333333333,19.3833333333,63.5,49.0,-9.0,8.5,0.0,0.345
164,2007-06-05,CULEX PIPIENS/RESTUANS,37, N KEDVALE AVE,T218,41.948167,-87.730698,0,6,5,156,23,1,64,47,56.0,-9,9,0,0.42,15.1,15.0,8.9,9.0,4.28333333333,19.3833333333,63.5,49.0,-9.0,8.5,0.0,0.345
166,2007-06-05,CULEX RESTUANS,37, N KEDVALE AVE,T218,41.948167,-87.730698,0,6,5,156,23,1,64,47,56.0,-9,9,0,0.42,15.1,15.0,8.9,9.0,4.28333333333,19.3833333333,63.5,49.0,-9.0,8.5,0.0,0.345
168,2007-06-05,CULEX RESTUANS,45, N CAMPBELL AVE,T220,41.963976,-87.69181,0,6,5,156,23,1,64,47,56.0,-9,9,0,0.42,15.1,15.0,8.9,9.0,4.28333333333,19.3833333333,63.5,49.0,-9.0,8.5,0.0,0.345
170,2007-06-26,CULEX PIPIENS/RESTUANS,41, N OAK PARK AVE,T002,41.95469,-87.800991,0,6,26,177,26,1,92,70,81.0,10,0,16,0.16,15.2166666667,15.0,8.78333333333,9.0,4.3,19.5166666667,91.5,71.5,10.0,0.0,16.5,0.0825
172,2007-06-26,CULEX RESTUANS,41, N OAK PARK AVE,T002,41.95469,-87.800991,0,6,26,177,26,1,92,70,81.0,10,0,16,0.16,15.2166666667,15.0,8.78333333333,9.0,4.3,19.5166666667,91.5,71.5,10.0,0.0,16.5,0.0825
174,2007-06-26,CULEX SALINARIUS,41, N OAK PARK AVE,T002,41.95469,-87.800991,0,6,26,177,26,1,92,70,81.0,10,0,16,0.16,15.2166666667,15.0,8.78333333333,9.0,4.3,19.5166666667,91.5,71.5,10.0,0.0,16.5,0.0825
176,2007-06-26,CULEX PIPIENS/RESTUANS,62, N MANDELL AVE,T007,41.994991,-87.769279,0,6,26,177,26,1,92,70,81.0,10,0,16,0.16,15.2166666667,15.0,8.78333333333,9.0,4.3,19.5166666667,91.5,71.5,10.0,0.0,16.5,0.0825
178,2007-06-26,CULEX RESTUANS,62, N MANDELL AVE,T007,41.994991,-87.769279,0,6,26,177,26,1,92,70,81.0,10,0,16,0.16,15.2166666667,15.0,8.78333333333,9.0,4.3,19.5166666667,91.5,71.5,10.0,0.0,16.5,0.0825
180,2007-06-26,CULEX RESTUANS,79, W FOSTER AVE,T015,41.974089,-87.824812,0,6,26,177,26,1,92,70,81.0,10,0,16,0.16,15.2166666667,15.0,8.78333333333,9.0,4.3,19.5166666667,91.5,71.5,10.0,0.0,16.5,0.0825
182,2007-06-26,CULEX PIPIENS/RESTUANS,15, W WEBSTER AVE,T045,41.9216,-87.666455,0,6,26,177,26,1,92,70,81.0,10,0,16,0.16,15.2166666667,15.0,8.78333333333,9.0,4.3,19.5166666667,91.5,71.5,10.0,0.0,16.5,0.0825
184,2007-06-26,CULEX RESTUANS,15, W WEBSTER AVE,T045,41.9216,-87.666455,0,6,26,177,26,1,92,70,81.0,10,0,16,0.16,15.2166666667,15.0,8.78333333333,9.0,4.3,19.5166666667,91.5,71.5,10.0,0.0,16.5,0.0825
186,2007-06-26,CULEX PIPIENS/RESTUANS,25, W GRAND AVE,T046,41.891118,-87.654491,0,6,26,177,26,1,92,70,81.0,10,0,16,0.16,15.2166666667,15.0,8.78333333333,9.0,4.3,19.5166666667,91.5,71.5,10.0,0.0,16.5,0.0825
188,2007-06-26,CULEX RESTUANS,25, W GRAND AVE,T046,41.891118,-87.654491,0,6,26,177,26,1,92,70,81.0,10,0,16,0.16,15.2166666667,15.0,8.78333333333,9.0,4.3,19.5166666667,91.5,71.5,10.0,0.0,16.5,0.0825
190,2007-06-26,CULEX PIPIENS/RESTUANS,11, W ROOSEVELT,T048,41.867108,-87.654224,0,6,26,177,26,1,92,70,81.0,10,0,16,0.16,15.2166666667,15.0,8.78333333333,9.0,4.3,19.5166666667,91.5,71.5,10.0,0.0,16.5,0.0825
192,2007-06-26,CULEX RESTUANS,11, W CHICAGO,T049,41.896282,-87.655232,0,6,26,177,26,1,92,70,81.0,10,0,16,0.16,15.2166666667,15.0,8.78333333333,9.0,4.3,19.5166666667,91.5,71.5,10.0,0.0,16.5,0.0825
194,2007-06-26,CULEX RESTUANS,21, N STAVE ST,T050,41.919343,-87.694259,0,6,26,177,26,1,92,70,81.0,10,0,16,0.16,15.2166666667,15.0,8.78333333333,9.0,4.3,19.5166666667,91.5,71.5,10.0,0.0,16.5,0.0825
196,2007-06-26,CULEX PIPIENS/RESTUANS,22, W 113TH ST,T086,41.688324,-87.676709,0,6,26,177,26,1,92,70,81.0,10,0,16,0.16,15.2166666667,15.0,8.78333333333,9.0,4.3,19.5166666667,91.5,71.5,10.0,0.0,16.5,0.0825
198,2007-06-26,CULEX PIPIENS/RESTUANS,22, W 113TH ST,T086,41.688324,-87.676709,0,6,26,177,26,1,92,70,81.0,10,0,16,0.16,15.2166666667,15.0,8.78333333333,9.0,4.3,19.5166666667,91.5,71.5,10.0,0.0,16.5,0.0825
