,Species,Block,Street,Trap,Latitude,Longitude,WnvPresent,month,day,day_of_year,week,Station,Tmax,Tmin,Tavg,Depart,Heat,Cool,PrecipTotal,DayLength_MPrec,DayLength_NearH,NightLength_MPrec,NightLength_NearH,Sunrise_hours,Sunset_hours,blended_Tmax,blended_Tmin,blended_Depart,blended_Heat,blended_Cool,blended_PrecipTotal
36,CULEX PIPIENS,22, W 89TH ST,T096,41.731922,-87.677512,0,5,29,149,22,1,88,60,74.0,10,0,9,0.0,14.9333333333,15.0,9.06666666667,9.0,4.35,19.2833333333,88.0,62.5,10.0,0.0,10.5,0.0
37,CULEX PIPIENS,22, W 89TH ST,T096,41.731922,-87.677512,0,5,29,149,22,2,88,65,77.0,10,0,12,0.0,14.9333333333,15.0,9.06666666667,9.0,4.35,19.2833333333,88.0,62.5,10.0,0.0,10.5,0.0
38,CULEX PIPIENS/RESTUANS,53, N STREETER DR,T129,41.891126,-87.61156,0,5,29,149,22,1,88,60,74.0,10,0,9,0.0,14.9333333333,15.0,9.06666666667,9.0,4.35,19.2833333333,88.0,62.5,10.0,0.0,10.5,0.0
39,CULEX PIPIENS/RESTUANS,53, N STREETER DR,T129,41.891126,-87.61156,0,5,29,149,22,2,88,65,77.0,10,0,12,0.0,14.9333333333,15.0,9.06666666667,9.0,4.35,19.2833333333,88.0,62.5,10.0,0.0,10.5,0.0
40,CULEX RESTUANS,53, N STREETER DR,T129,41.891126,-87.61156,0,5,29,149,22,1,88,60,74.0,10,0,9,0.0,14.9333333333,15.0,9.06666666667,9.0,4.35,19.2833333333,88.0,62.5,10.0,0.0,10.5,0.0
41,CULEX RESTUANS,53, N STREETER DR,T129,41.891126,-87.61156,0,5,29,149,22,2,88,65,77.0,10,0,12,0.0,14.9333333333,15.0,9.06666666667,9.0,4.35,19.2833333333,88.0,62.5,10.0,0.0,10.5,0.0
42,CULEX PIPIENS/RESTUANS,65, N OAK PARK AVE,T143,41.999129,-87.795585,0,5,29,149,22,1,88,60,74.0,10,0,9,0.0,14.9333333333,15.0,9.06666666667,9.0,4.35,19.2833333333,88.0,62.5,10.0,0.0,10.5,0.0
43,CULEX PIPIENS/RESTUANS,65, N OAK PARK AVE,T143,41.999129,-87.795585,0,5,29,149,22,2,88,65,77.0,10,0,12,0.0,14.9333333333,15.0,9.06666666667,9.0,4.35,19.2833333333,88.0,62.5,10.0,0.0,10.5,0.0
44,CULEX PIPIENS/RESTUANS,75, N OAKLEY AVE,T148,42.01743,-87.687769,0,5,29,149,22,1,88,60,74.0,10,0,9,0.0,14.9333333333,15.0,9.06666666667,9.0,4.35,19.2833333333,88.0,62.5,10.0,0.0,10.5,0.0
45,CULEX PIPIENS/RESTUANS,75, N OAKLEY AVE,T148,42.01743,-87.687769,0,5,29,149,22,2,88,65,77.0,10,0,12,0.0,14.9333333333,15.0,9.06666666667,9.0,4.35,19.2833333333,88.0,62.5,10.0,0.0,10.5,0.0
46,CULEX RESTUANS,15, N LONG AVE,T153,41.907645,-87.760886,0,5,29,149,22,1,88,60,74.0,10,0,9,0.0,14.9333333333,15.0,9.06666666667,9.0,4.35,19.2833333333,88.0,62.5,10.0,0.0,10.5,0.0
47,CULEX RESTUANS,15, N LONG AVE,T153,41.907645,-87.760886,0,5,29,149,22,2,88,65,77.0,10,0,12,0.0,14.9333333333,15.0,9.06666666667,9.0,4.35,19.2833333333,88.0,62.5,10.0,0.0,10.5,0.0
48,CULEX RESTUANS,89, S CARPENTER ST,T159,41.732984,-87.649642,0,5,29,149,22,1,88,60,74.0,10,0,9,0.0,14.9333333333,15.0,9.06666666667,9.0,4.35,19.2833333333,88.0,62.5,10.0,0.0,10.5,0.0
49,CULEX RESTUANS,89, S CARPENTER ST,T159,41.732984,-87.649642,0,5,29,149,22,2,88,65,77.0,10,0,12,0.0,14.9333333333,15.0,9.06666666667,9.0,4.35,19.2833333333,88.0,62.5,10.0,0.0,10.5,0.0
50,CULEX PIPIENS/RESTUANS,41, N OAK PARK AVE,T002,41.95469,-87.800991,0,6,5,156,23,1,64,47,56.0,-9,9,0,0.42,15.1,15.0,8.9,9.0,4.28333333333,19.3833333333,63.5,49.0,-9.0,8.5,0.0,0.345
51,CULEX PIPIENS/RESTUANS,41, N OAK PARK AVE,T002,41.95469,-87.800991,0,6,5,156,23,2,63,51,57.0,-9,8,0,0.27,15.1,15.0,8.9,9.0,4.28333333333,19.3833333333,63.5,49.0,-9.0,8.5,0.0,0.345
52,CULEX RESTUANS,41, N OAK PARK AVE,T002,41.95469,-87.800991,0,6,5,156,23,1,64,47,56.0,-9,9,0,0.42,15.1,15.0,8.9,9.0,4.28333333333,19.3833333333,63.5,49.0,-9.0,8.5,0.0,0.345
53,CULEX RESTUANS,41, N OAK PARK AVE,T002,41.95469,-87.800991,0,6,5,156,23,2,63,51,57.0,-9,8,0,0.27,15.1,15.0,8.9,9.0,4.28333333333,19.3833333333,63.5,49.0,-9.0,8.5,0.0,0.345
54,CULEX PIPIENS,41, N OAK PARK AVE,T002,41.95469,-87.800991,0,6,5,156,23,1,64,47,56.0,-9,9,0,0.42,15.1,15.0,8.9,9.0,4.28333333333,19.3833333333,63.5,49.0,-9.0,8.5,0.0,0.345
55,CULEX PIPIENS,41, N OAK PARK AVE,T002,41.95469,-87.800991,0,6,5,156,23,2,63,51,57.0,-9,8,0,0.27,15.1,15.0,8.9,9.0,4.28333333333,19.3833333333,63.5,49.0,-9.0,8.5,0.0,0.345
56,CULEX PIPIENS/RESTUANS,79, W FOSTER AVE,T015,41.974089,-87.824812,0,6,5,156,23,1,64,47,56.0,-9,9,0,0.42,15.1,15.0,8.9,9.0,4.28333333333,19.3833333333,63.5,49.0,-9.0,8.5,0.0,0.345
57,CULEX PIPIENS/RESTUANS,79, W FOSTER AVE,T015,41.974089,-87.824812,0,6,5,156,23,2,63,51,57.0,-9,8,0,0.27,15.1,15.0,8.9,9.0,4.28333333333,19.3833333333,63.5,49.0,-9.0,8.5,0.0,0.345
58,CULEX RESTUANS,79, W FOSTER AVE,T015,41.974089,-87.824812,0,6,5,156,23,1,64,47,56.0,-9,9,0,0.42,15.1,15.0,8.9,9.0,4.28333333333,19.3833333333,63.5,49.0,-9.0,8.5,0.0,0.345
59,CULEX RESTUANS,79, W FOSTER AVE,T015,41.974089,-87.824812,0,6,5,156,23,2,63,51,57.0,-9,8,0,0.27,15.1,15.0,8.9,9.0,4.28333333333,19.3833333333,63.5,49.0,-9.0,8.5,0.0,0.345
60,CULEX PIPIENS/RESTUANS,15, W WEBSTER AVE,T045,41.9216,-87.666455,0,6,5,156,23,1,64,47,56.0,-9,9,0,0.42,15.1,15.0,8.9,9.0,4.28333333333,19.3833333333,63.5,49.0,-9.0,8.5,0.0,0.345
61,CULEX PIPIENS/RESTUANS,15, W WEBSTER AVE,T045,41.9216,-87.666455,0,6,5,156,23,2,63,51,57.0,-9,8,0,0.27,15.1,15.0,8.9,9.0,4.28333333333,19.3833333333,63.5,49.0,-9.0,8.5,0.0,0.345
62,CULEX RESTUANS,15, W WEBSTER AVE,T045,41.9216,-87.666455,0,6,5,156,23,1,64,47,56.0,-9,9,0,0.42,15.1,15.0,8.9,9.0,4.28333333333,19.3833333333,63.5,49.0,-9.0,8.5,0.0,0.345
63,CULEX RESTUANS,15, W WEBSTER AVE,T045,41.9216,-87.666455,0,6,5,156,23,2,63,51,57.0,-9,8,0,0.27,15.1,15.0,8.9,9.0,4.28333333333,19.3833333333,63.5,49.0,-9.0,8.5,0.0,0.345
64,CULEX PIPIENS,15, W WEBSTER AVE,T045,41.9216,-87.666455,0,6,5,156,23,1,64,47,56.0,-9,9,0,0.42,15.1,15.0,8.9,9.0,4.28333333333,19.3833333333,63.5,49.0,-9.0,8.5,0.0,0.345
65,CULEX PIPIENS,15, W WEBSTER AVE,T045,41.9216,-87.666455,0,6,5,156,23,2,63,51,57.0,-9,8,0,0.27,15.1,15.0,8.9,9.0,4.28333333333,19.3833333333,63.5,49.0,-9.0,8.5,0.0,0.345
66,CULEX RESTUANS,25, W GRAND AVE,T046,41.891118,-87.654491,0,6,5,156,23,1,64,47,56.0,-9,9,0,0.42,15.1,15.0,8.9,9.0,4.28333333333,19.3833333333,63.5,49.0,-9.0,8.5,0.0,0.345
67,CULEX RESTUANS,25, W GRAND AVE,T046,41.891118,-87.654491,0,6,5,156,23,2,63,51,57.0,-9,8,0,0.27,15.1,15.0,8.9,9.0,4.28333333333,19.3833333333,63.5,49.0,-9.0,8.5,0.0,0.345
68,CULEX PIPIENS/RESTUANS,11, W ROOSEVELT,T048,41.867108,-87.654224,0,6,5,156,23,1,64,47,56.0,-9,9,0,0.42,15.1,15.0,8.9,9.0,4.28333333333,19.3833333333,63.5,49.0,-9.0,8.5,0.0,0.345
69,CULEX PIPIENS/RESTUANS,11, W ROOSEVELT,T048,41.867108,-87.654224,0,6,5,156,23,2,63,51,57.0,-9,8,0,0.27,15.1,15.0,8.9,9.0,4.28333333333,19.3833333333,63.5,49.0,-9.0,8.5,0.0,0.345
70,CULEX RESTUANS,11, W ROOSEVELT,T048,41.867108,-87.654224,0,6,5,156,23,1,64,47,56.0,-9,9,0,0.42,15.1,15.0,8.9,9.0,4.28333333333,19.3833333333,63.5,49.0,-9.0,8.5,0.0,0.345
71,CULEX RESTUANS,11, W ROOSEVELT,T048,41.867108,-87.654224,0,6,5,156,23,2,63,51,57.0,-9,8,0,0.27,15.1,15.0,8.9,9.0,4.28333333333,19.3833333333,63.5,49.0,-9.0,8.5,0.0,0.345
72,CULEX PIPIENS,11, W ROOSEVELT,T048,41.867108,-87.654224,0,6,5,156,23,1,64,47,56.0,-9,9,0,0.42,15.1,15.0,8.9,9.0,4.28333333333,19.3833333333,63.5,49.0,-9.0,8.5,0.0,0.345
73,CULEX PIPIENS,11, W ROOSEVELT,T048,41.867108,-87.654224,0,6,5,156,23,2,63,51,57.0,-9,8,0,0.27,15.1,15.0,8.9,9.0,4.28333333333,19.3833333333,63.5,49.0,-9.0,8.5,0.0,0.345
74,CULEX RESTUANS,11, W CHICAGO,T049,41.896282,-87.655232,0,6,5,156,23,1,64,47,56.0,-9,9,0,0.42,15.1,15.0,8.9,9.0,4.28333333333,19.3833333333,63.5,49.0,-9.0,8.5,0.0,0.345
75,CULEX RESTUANS,11, W CHICAGO,T049,41.896282,-87.655232,0,6,5,156,23,2,63,51,57.0,-9,8,0,0.27,15.1,15.0,8.9,9.0,4.28333333333,19.3833333333,63.5,49.0,-9.0,8.5,0.0,0.345
76,CULEX PIPIENS/RESTUANS,21, N STAVE ST,T050,41.919343,-87.694259,0,6,5,156,23,1,64,47,56.0,-9,9,0,0.42,15.1,15.0,8.9,9.0,4.28333333333,19.3833333333,63.5,49.0,-9.0,8.5,0.0,0.345
77,CULEX PIPIENS/RESTUANS,21, N STAVE ST,T050,41.919343,-87.694259,0,6,5,156,23,2,63,51,57.0,-9,8,0,0.27,15.1,15.0,8.9,9.0,4.28333333333,19.3833333333,63.5,49.0,-9.0,8.5,0.0,0.345
78,CULEX RESTUANS,21, N STAVE ST,T050,41.919343,-87.694259,0,6,5,156,23,1,64,47,56.0,-9,9,0,0.42,15.1,15.0,8.9,9.0,4.28333333333,19.3833333333,63.5,49.0,-9.0,8.5,0.0,0.345
79,CULEX RESTUANS,21, N STAVE ST,T050,41.919343,-87.694259,0,6,5,156,23,2,63,51,57.0,-9,8,0,0.27,15.1,15.0,8.9,9.0,4.28333333333,19.3833333333,63.5,49.0,-9.0,8.5,0.0,0.345
80,CULEX RESTUANS,22, N CANNON DR,T054,41.921965,-87.632085,0,6,5,156,23,1,64,47,56.0,-9,9,0,0.42,15.1,15.0,8.9,9.0,4.28333333333,19.3833333333,63.5,49.0,-9.0,8.5,0.0,0.345
81,CULEX RESTUANS,22, N CANNON DR,T054,41.921965,-87.632085,0,6,5,156,23,2,63,51,57.0,-9,8,0,0.27,15.1,15.0,8.9,9.0,4.28333333333,19.3833333333,63.5,49.0,-9.0,8.5,0.0,0.345
82,CULEX RESTUANS,22, W 113TH ST,T086,41.688324,-87.676709,0,6,5,156,23,1,64,47,56.0,-9,9,0,0.42,15.1,15.0,8.9,9.0,4.28333333333,19.3833333333,63.5,49.0,-9.0,8.5,0.0,0.345
83,CULEX RESTUANS,22, W 113TH ST,T086,41.688324,-87.676709,0,6,5,156,23,2,63,51,57.0,-9,8,0,0.27,15.1,15.0,8.9,9.0,4.28333333333,19.3833333333,63.5,49.0,-9.0,8.5,0.0,0.345
84,CULEX PIPIENS/RESTUANS,17, W 95TH ST,T094,41.720848,-87.666014,0,6,5,156,23,1,64,47,56.0,-9,9,0,0.42,15.1,15.0,8.9,9.0,4.28333333333,19.3833333333,63.5,49.0,-9.0,8.5,0.0,0.345
85,CULEX PIPIENS/RESTUANS,17, W 95TH ST,T094,41.720848,-87.666014,0,6,5,156,23,2,63,51,57.0,-9,8,0,0.27,15.1,15.0,8.9,9.0,4.28333333333,19.3833333333,63.5,49.0,-9.0,8.5,0.0,0.345
86,CULEX PIPIENS/RESTUANS,22, W 89TH ST,T096,41.731922,-87.677512,0,6,5,156,23,1,64,47,56.0,-9,9,0,0.42,15.1,15.0,8.9,9.0,4.28333333333,19.3833333333,63.5,49.0,-9.0,8.5,0.0,0.345
87,CULEX PIPIENS/RESTUANS,22, W 89TH ST,T096,41.731922,-87.677512,0,6,5,156,23,2,63,51,57.0,-9,8,0,0.27,15.1,15.0,8.9,9.0,4.28333333333,19.3833333333,63.5,49.0,-9.0,8.5,0.0,0.345
88,CULEX RESTUANS,22, W 89TH ST,T096,41.731922,-87.677512,0,6,5,156,23,1,64,47,56.0,-9,9,0,0.42,15.1,15.0,8.9,9.0,4.28333333333,19.3833333333,63.5,49.0,-9.0,8.5,0.0,0.345
89,CULEX RESTUANS,22, W 89TH ST,T096,41.731922,-87.677512,0,6,5,156,23,2,63,51,57.0,-9,8,0,0.27,15.1,15.0,8.9,9.0,4.28333333333,19.3833333333,63.5,49.0,-9.0,8.5,0.0,0.345
90,CULEX PIPIENS,22, W 89TH ST,T096,41.731922,-87.677512,0,6,5,156,23,1,64,47,56.0,-9,9,0,0.42,15.1,15.0,8.9,9.0,4.28333333333,19.3833333333,63.5,49.0,-9.0,8.5,0.0,0.345
91,CULEX PIPIENS,22, W 89TH ST,T096,41.731922,-87.677512,0,6,5,156,23,2,63,51,57.0,-9,8,0,0.27,15.1,15.0,8.9,9.0,4.28333333333,19.3833333333,63.5,49.0,-9.0,8.5,0.0,0.345
92,CULEX PIPIENS/RESTUANS,65, N OAK PARK AVE,T143,41.999129,-87.795585,0,6,5,156,23,1,64,47,56.0,-9,9,0,0.42,15.1,15.0,8.9,9.0,4.28333333333,19.3833333333,63.5,49.0,-9.0,8.5,0.0,0.345
93,CULEX PIPIENS/RESTUANS,65, N OAK PARK AVE,T143,41.999129,-87.795585,0,6,5,156,23,2,63,51,57.0,-9,8,0,0.27,15.1,15.0,8.9,9.0,4.28333333333,19.3833333333,63.5,49.0,-9.0,8.5,0.0,0.345
94,CULEX RESTUANS,65, N OAK PARK AVE,T143,41.999129,-87.795585,0,6,5,156,23,1,64,47,56.0,-9,9,0,0.42,15.1,15.0,8.9,9.0,4.28333333333,19.3833333333,63.5,49.0,-9.0,8.5,0.0,0.345
95,CULEX RESTUANS,65, N OAK PARK AVE,T143,41.999129,-87.795585,0,6,5,156,23,2,63,51,57.0,-9,8,0,0.27,15.1,15.0,8.9,9.0,4.28333333333,19.3833333333,63.5,49.0,-9.0,8.5,0.0,0.345
96,CULEX RESTUANS,15, N LONG AVE,T153,41.907645,-87.760886,0,6,5,156,23,1,64,47,56.0,-9,9,0,0.42,15.1,15.0,8.9,9.0,4.28333333333,19.3833333333,63.5,49.0,-9.0,8.5,0.0,0.345
97,CULEX RESTUANS,15, N LONG AVE,T153,41.907645,-87.760886,0,6,5,156,23,2,63,51,57.0,-9,8,0,0.27,15.1,15.0,8.9,9.0,4.28333333333,19.3833333333,63.5,49.0,-9.0,8.5,0.0,0.345
98,CULEX RESTUANS,89, S CARPENTER ST,T159,41.732984,-87.649642,0,6,5,156,23,1,64,47,56.0,-9,9,0,0.42,15.1,15.0,8.9,9.0,4.28333333333,19.3833333333,63.5,49.0,-9.0,8.5,0.0,0.345
99,CULEX RESTUANS,89, S CARPENTER ST,T159,41.732984,-87.649642,0,6,5,156,23,2,63,51,57.0,-9,8,0,0.27,15.1,15.0,8.9,9.0,4.28333333333,19.3833333333,63.5,49.0,-9.0,8.5,0.0,0.345
100,CULEX RESTUANS,91, W HIGGINS AVE,T009,41.981964,-87.812827,0,6,5,156,23,1,64,47,56.0,-9,9,0,0.42,15.1,15.0,8.9,9.0,4.28333333333,19.3833333333,63.5,49.0,-9.0,8.5,0.0,0.345
101,CULEX RESTUANS,91, W HIGGINS AVE,T009,41.981964,-87.812827,0,6,5,156,23,2,63,51,57.0,-9,8,0,0.27,15.1,15.0,8.9,9.0,4.28333333333,19.3833333333,63.5,49.0,-9.0,8.5,0.0,0.345
102,CULEX RESTUANS,36, N PITTSBURGH AVE,T011,41.944869,-87.832763,0,6,5,156,23,1,64,47,56.0,-9,9,0,0.42,15.1,15.0,8.9,9.0,4.28333333333,19.3833333333,63.5,49.0,-9.0,8.5,0.0,0.345
103,CULEX RESTUANS,36, N PITTSBURGH AVE,T011,41.944869,-87.832763,0,6,5,156,23,2,63,51,57.0,-9,8,0,0.27,15.1,15.0,8.9,9.0,4.28333333333,19.3833333333,63.5,49.0,-9.0,8.5,0.0,0.345
104,CULEX RESTUANS,72, N OKETO AVE,T016,42.011601,-87.811506,0,6,5,156,23,1,64,47,56.0,-9,9,0,0.42,15.1,15.0,8.9,9.0,4.28333333333,19.3833333333,63.5,49.0,-9.0,8.5,0.0,0.345
105,CULEX RESTUANS,72, N OKETO AVE,T016,42.011601,-87.811506,0,6,5,156,23,2,63,51,57.0,-9,8,0,0.27,15.1,15.0,8.9,9.0,4.28333333333,19.3833333333,63.5,49.0,-9.0,8.5,0.0,0.345
106,CULEX RESTUANS,38, N CALIFORNIA AVE,T019,41.94983,-87.698457,0,6,5,156,23,1,64,47,56.0,-9,9,0,0.42,15.1,15.0,8.9,9.0,4.28333333333,19.3833333333,63.5,49.0,-9.0,8.5,0.0,0.345
