,Yes,No,bin
266,0.0,100.0,lowest
267,40.59,59.41,low
268,52.42,47.58,mid
269,0.06,99.94,lowest
270,0.1,99.9,lowest
271,40.59,59.41,low
272,0.0,100.0,lowest
273,0.0,100.0,lowest
274,43.97,56.03,low
275,0.0,100.0,lowest
276,30.69,69.31,low
277,0.0,100.0,lowest
278,52.42,47.58,mid
279,0.0,100.0,lowest
280,0.0,100.0,lowest
281,30.69,69.31,low
282,43.97,56.03,low
283,30.69,69.31,low
284,30.69,69.31,low
285,43.97,56.03,low
286,0.0,100.0,lowest
287,40.59,59.41,low
288,40.59,59.41,low
289,40.59,59.41,low
290,0.0,100.0,lowest
291,55.86,44.14,mid
292,0.05,99.95,lowest
293,40.59,59.41,low
294,40.59,59.41,low
295,0.05,99.95,lowest
296,52.11,47.89,mid
297,0.1,99.9,lowest
298,43.97,56.03,low
299,0.0,100.0,lowest
300,38.67,61.33,low
301,0.0,100.0,lowest
302,43.97,56.03,low
303,55.86,44.14,mid
304,63.64,36.36,mid
305,51.8,48.2,mid
306,46.01,53.99,low
307,51.8,48.2,mid
308,0.06,99.94,lowest
309,0.1,99.9,lowest
310,46.01,53.99,low
311,63.64,36.36,mid
312,65.58,34.42,mid
313,51.8,48.2,mid
314,63.64,36.36,mid
315,0.1,99.9,lowest
316,0.0,100.0,lowest
317,0.0,100.0,lowest
318,0.0,100.0,lowest
319,0.0,100.0,lowest
320,0.0,100.0,lowest
321,30.69,69.31,low
322,0.0,100.0,lowest
323,44.41,55.59,low
324,47.58,52.42,low
325,40.09,59.91,low
326,0.05,99.95,lowest
327,30.69,69.31,low
328,0.0,100.0,lowest
329,0.0,100.0,lowest
330,39.5,60.5,low
331,34.27,65.73,low
332,44.41,55.59,low
333,46.01,53.99,low
334,44.41,55.59,low
335,34.27,65.73,low
336,0.1,99.9,lowest
337,0.0,100.0,lowest
338,30.69,69.31,low
339,0.0,100.0,lowest
340,0.1,99.9,lowest
341,44.41,55.59,low
342,34.27,65.73,low
343,44.41,55.59,low
344,30.69,69.31,low
345,30.69,69.31,low
346,30.69,69.31,low
347,0.0,100.0,lowest
348,55.86,44.14,mid
349,30.69,69.31,low
350,63.64,36.36,mid
351,0.06,99.94,lowest
352,30.69,69.31,low
353,63.64,36.36,mid
354,0.0,100.0,lowest
355,44.41,55.59,low
356,0.0,100.0,lowest
357,0.06,99.94,lowest
358,30.69,69.31,low
359,44.41,55.59,low
360,44.41,55.59,low
361,39.5,60.5,low
362,44.41,55.59,low
363,0.0,100.0,lowest
364,44.41,55.59,low
365,0.0,100.0,lowest
366,0.0,100.0,lowest
367,43.97,56.03,low
368,0.0,100.0,lowest
369,0.0,100.0,lowest
370,63.64,36.36,mid
371,0.0,100.0,lowest
372,30.69,69.31,low
373,30.69,69.31,low
374,0.06,99.94,lowest
375,39.5,60.5,low
376,0.04,99.96,lowest
377,0.0,100.0,lowest
378,0.0,100.0,lowest
379,40.59,59.41,low
380,0.0,100.0,lowest
381,30.69,69.31,low
382,39.5,60.5,low
383,44.41,55.59,low
384,0.0,100.0,lowest
385,0.0,100.0,lowest
386,40.59,59.41,low
387,44.41,55.59,low
388,0.0,100.0,lowest
389,44.41,55.59,low
390,0.1,99.9,lowest
391,36.24,63.76,low
392,50.07,49.93,mid
393,44.41,55.59,low
394,30.69,69.31,low
