,Yes,No,bin
45,0.0,100.0,lowest
218,0.0,100.0,lowest
168,0.0,100.0,lowest
180,0.0,100.0,lowest
219,0.0,100.0,lowest
369,0.0,100.0,lowest
38,0.0,100.0,lowest
371,0.0,100.0,lowest
273,0.0,100.0,lowest
34,0.0,100.0,lowest
159,0.0,100.0,lowest
272,0.0,100.0,lowest
266,0.0,100.0,lowest
368,0.0,100.0,lowest
141,0.04,99.96,lowest
376,0.04,99.96,lowest
119,0.05,99.95,lowest
193,0.05,99.95,lowest
128,0.05,99.95,lowest
257,0.05,99.95,lowest
295,0.05,99.95,lowest
156,0.05,99.95,lowest
177,0.05,99.95,lowest
292,0.05,99.95,lowest
183,0.05,99.95,lowest
326,0.05,99.95,lowest
27,0.05,99.95,lowest
17,0.05,99.95,lowest
37,0.05,99.95,lowest
57,0.05,99.95,lowest
232,0.05,99.95,lowest
62,0.05,99.95,lowest
11,0.05,99.95,lowest
66,0.05,99.95,lowest
69,0.05,99.95,lowest
72,0.05,99.95,lowest
235,0.05,99.95,lowest
87,0.05,99.95,lowest
89,0.05,99.95,lowest
19,0.05,99.95,lowest
109,0.05,99.95,lowest
105,0.05,99.95,lowest
225,0.05,99.95,lowest
203,0.05,99.95,lowest
94,0.05,99.95,lowest
98,0.05,99.95,lowest
220,0.06,99.94,lowest
221,0.06,99.94,lowest
374,0.06,99.94,lowest
308,0.06,99.94,lowest
31,0.06,99.94,lowest
12,0.06,99.94,lowest
239,0.06,99.94,lowest
167,0.06,99.94,lowest
30,0.06,99.94,lowest
23,0.06,99.94,lowest
21,0.06,99.94,lowest
51,0.06,99.94,lowest
269,0.06,99.94,lowest
357,0.06,99.94,lowest
73,0.06,99.94,lowest
116,0.06,99.94,lowest
64,0.06,99.94,lowest
182,0.06,99.94,lowest
351,0.06,99.94,lowest
20,0.06,99.94,lowest
3,0.06,99.94,lowest
96,0.06,99.94,lowest
111,0.06,99.94,lowest
249,0.07,99.93,lowest
244,0.07,99.93,lowest
336,0.1,99.9,lowest
251,0.1,99.9,lowest
297,0.1,99.9,lowest
309,0.1,99.9,lowest
315,0.1,99.9,lowest
340,0.1,99.9,lowest
270,0.1,99.9,lowest
192,0.1,99.9,lowest
390,0.1,99.9,lowest
185,30.69,69.31,low
248,30.69,69.31,low
189,30.69,69.31,low
190,30.69,69.31,low
247,30.69,69.31,low
246,30.69,69.31,low
245,30.69,69.31,low
237,30.69,69.31,low
229,30.69,69.31,low
394,30.69,69.31,low
113,30.69,69.31,low
179,30.69,69.31,low
338,30.69,69.31,low
344,30.69,69.31,low
345,30.69,69.31,low
76,30.69,69.31,low
346,30.69,69.31,low
349,30.69,69.31,low
61,30.69,69.31,low
352,30.69,69.31,low
358,30.69,69.31,low
46,30.69,69.31,low
44,30.69,69.31,low
40,30.69,69.31,low
372,30.69,69.31,low
373,30.69,69.31,low
18,30.69,69.31,low
381,30.69,69.31,low
1,30.69,69.31,low
86,30.69,69.31,low
252,30.69,69.31,low
92,30.69,69.31,low
151,30.69,69.31,low
178,30.69,69.31,low
258,30.69,69.31,low
263,30.69,69.31,low
166,30.69,69.31,low
165,30.69,69.31,low
161,30.69,69.31,low
157,30.69,69.31,low
276,30.69,69.31,low
226,30.69,69.31,low
283,30.69,69.31,low
284,30.69,69.31,low
132,30.69,69.31,low
321,30.69,69.31,low
118,30.69,69.31,low
327,30.69,69.31,low
112,30.69,69.31,low
281,30.69,69.31,low
335,34.27,65.73,low
342,34.27,65.73,low
331,34.27,65.73,low
0,34.27,65.73,low
79,34.27,65.73,low
102,34.27,65.73,low
7,34.27,65.73,low
196,34.27,65.73,low
198,34.27,65.73,low
28,34.27,65.73,low
110,34.27,65.73,low
133,34.27,65.73,low
52,34.87,65.13,low
240,34.87,65.13,low
391,36.24,63.76,low
216,36.6,63.4,low
85,36.6,63.4,low
255,38.08,61.92,low
200,38.08,61.92,low
15,38.67,61.33,low
60,38.67,61.33,low
300,38.67,61.33,low
123,38.67,61.33,low
65,39.5,60.5,low
143,39.5,60.5,low
361,39.5,60.5,low
58,39.5,60.5,low
78,39.5,60.5,low
158,39.5,60.5,low
84,39.5,60.5,low
36,39.5,60.5,low
59,39.5,60.5,low
375,39.5,60.5,low
120,39.5,60.5,low
22,39.5,60.5,low
163,39.5,60.5,low
382,39.5,60.5,low
222,39.5,60.5,low
238,39.5,60.5,low
107,39.5,60.5,low
330,39.5,60.5,low
325,40.09,59.91,low
146,40.35,59.65,low
82,40.59,59.41,low
5,40.59,59.41,low
16,40.59,59.41,low
386,40.59,59.41,low
88,40.59,59.41,low
288,40.59,59.41,low
201,40.59,59.41,low
293,40.59,59.41,low
294,40.59,59.41,low
204,40.59,59.41,low
287,40.59,59.41,low
289,40.59,59.41,low
209,40.59,59.41,low
174,40.59,59.41,low
256,40.59,59.41,low
39,40.59,59.41,low
265,40.59,59.41,low
184,40.59,59.41,low
379,40.59,59.41,low
271,40.59,59.41,low
91,40.59,59.41,low
267,40.59,59.41,low
127,42.34,57.66,low
115,43.46,56.54,low
49,43.46,56.54,low
42,43.46,56.54,low
77,43.97,56.03,low
227,43.97,56.03,low
70,43.97,56.03,low
212,43.97,56.03,low
215,43.97,56.03,low
302,43.97,56.03,low
172,43.97,56.03,low
285,43.97,56.03,low
56,43.97,56.03,low
199,43.97,56.03,low
10,43.97,56.03,low
282,43.97,56.03,low
367,43.97,56.03,low
274,43.97,56.03,low
176,43.97,56.03,low
171,43.97,56.03,low
298,43.97,56.03,low
101,44.41,55.59,low
224,44.41,55.59,low
43,44.41,55.59,low
343,44.41,55.59,low
71,44.41,55.59,low
355,44.41,55.59,low
359,44.41,55.59,low
360,44.41,55.59,low
362,44.41,55.59,low
364,44.41,55.59,low
35,44.41,55.59,low
33,44.41,55.59,low
32,44.41,55.59,low
383,44.41,55.59,low
387,44.41,55.59,low
6,44.41,55.59,low
389,44.41,55.59,low
341,44.41,55.59,low
334,44.41,55.59,low
134,44.41,55.59,low
332,44.41,55.59,low
144,44.41,55.59,low
148,44.41,55.59,low
149,44.41,55.59,low
153,44.41,55.59,low
154,44.41,55.59,low
160,44.41,55.59,low
162,44.41,55.59,low
164,44.41,55.59,low
170,44.41,55.59,low
262,44.41,55.59,low
173,44.41,55.59,low
254,44.41,55.59,low
253,44.41,55.59,low
250,44.41,55.59,low
191,44.41,55.59,low
393,44.41,55.59,low
195,44.41,55.59,low
243,44.41,55.59,low
242,44.41,55.59,low
140,44.41,55.59,low
139,44.41,55.59,low
150,44.41,55.59,low
194,44.41,55.59,low
323,44.41,55.59,low
117,44.41,55.59,low
136,44.41,55.59,low
135,44.41,55.59,low
125,44.41,55.59,low
126,44.41,55.59,low
130,44.41,55.59,low
131,44.41,55.59,low
138,44.41,55.59,low
14,46.01,53.99,low
306,46.01,53.99,low
310,46.01,53.99,low
333,46.01,53.99,low
137,46.01,53.99,low
324,47.58,52.42,low
152,47.59,52.41,low
392,50.07,49.93,mid
307,51.8,48.2,mid
210,51.8,48.2,mid
313,51.8,48.2,mid
305,51.8,48.2,mid
296,52.11,47.89,mid
268,52.42,47.58,mid
230,52.42,47.58,mid
114,52.42,47.58,mid
47,52.42,47.58,mid
278,52.42,47.58,mid
188,52.42,47.58,mid
303,55.86,44.14,mid
68,55.86,44.14,mid
233,55.86,44.14,mid
169,55.86,44.14,mid
348,55.86,44.14,mid
291,55.86,44.14,mid
